time,open,high,low,close
2023-11-07T11:00:00+01:00,1966.43,1968.07,1956.76,1966.59
2023-11-07T15:00:00+01:00,1966.59,1967.31,1960.245,1964.055
2023-11-07T19:00:00+01:00,1964.055,1969.865,1963.695,1969.3
2023-11-07T23:00:00+01:00,1969.3,1970.07,1967.56,1968.7
2023-11-08T03:00:00+01:00,1968.7,1971.1,1965.045,1965.63
2023-11-08T07:00:00+01:00,1965.63,1969.17,1965.17,1965.56
2023-11-08T11:00:00+01:00,1965.56,1966.71,1959.595,1964.87
2023-11-08T15:00:00+01:00,1964.87,1966.43,1951.005,1953.75
2023-11-08T19:00:00+01:00,1953.75,1954.765,1947.48,1950.28
2023-11-08T23:00:00+01:00,1950.28,1954.725,1948.955,1953.44
2023-11-09T03:00:00+01:00,1953.44,1953.46,1947.88,1950.19
2023-11-09T07:00:00+01:00,1950.19,1950.58,1944.725,1946.89
2023-11-09T11:00:00+01:00,1946.89,1951.425,1944.865,1950.62
2023-11-09T15:00:00+01:00,1950.62,1964.945,1948.64,1961.895
2023-11-09T19:00:00+01:00,1961.895,1965.7,1956.23,1958.26
2023-11-09T23:00:00+01:00,1958.26,1960.835,1957.99,1959.15
2023-11-10T03:00:00+01:00,1959.15,1960.51,1956.41,1957.35
2023-11-10T07:00:00+01:00,1957.35,1958.285,1953.595,1953.985
2023-11-10T11:00:00+01:00,1953.985,1954.44,1943.19,1946.16
2023-11-10T15:00:00+01:00,1946.16,1947.695,1936.645,1936.805
2023-11-10T19:00:00+01:00,1936.805,1939.015,1933.03,1938.385
2023-11-12T23:00:00+01:00,1938.385,1943.9,1935.44,1940.4
2023-11-13T03:00:00+01:00,1940.4,1941.355,1934.075,1939.17
2023-11-13T07:00:00+01:00,1939.17,1941.295,1936.01,1938.245
2023-11-13T11:00:00+01:00,1938.245,1939.76,1934.06,1936.035
2023-11-13T15:00:00+01:00,1936.035,1949.21,1931.685,1945.835
2023-11-13T19:00:00+01:00,1945.835,1948.155,1944.905,1946.155
2023-11-13T23:00:00+01:00,1946.155,1948.42,1945.48,1945.74
2023-11-14T03:00:00+01:00,1945.74,1946.74,1943.81,1944.505
2023-11-14T07:00:00+01:00,1944.505,1948.015,1944.235,1947.21
2023-11-14T11:00:00+01:00,1947.21,1959.25,1941.535,1954.375
2023-11-14T15:00:00+01:00,1954.375,1971.05,1953.715,1962.245
2023-11-14T19:00:00+01:00,1962.245,1964.545,1961.69,1963.175
2023-11-14T23:00:00+01:00,1963.175,1964.01,1961.66,1962.71
2023-11-15T03:00:00+01:00,1962.71,1967.98,1962.595,1967.005
2023-11-15T07:00:00+01:00,1967.005,1972.625,1966.915,1971.52
2023-11-15T11:00:00+01:00,1971.52,1975.425,1963.485,1965.69
2023-11-15T15:00:00+01:00,1965.69,1966.71,1955.49,1961.51
2023-11-15T19:00:00+01:00,1961.51,1962.255,1959.075,1959.545
2023-11-15T23:00:00+01:00,1959.545,1961.45,1957.71,1958.47
2023-11-16T03:00:00+01:00,1958.47,1963.955,1956.545,1962.95
2023-11-16T07:00:00+01:00,1962.95,1968.615,1962.865,1966.3
2023-11-16T11:00:00+01:00,1966.3,1973.03,1962.155,1972.16
2023-11-16T15:00:00+01:00,1972.16,1988.0,1971.585,1983.405
2023-11-16T19:00:00+01:00,1983.405,1985.265,1980.695,1981.39
2023-11-16T23:00:00+01:00,1981.39,1987.05,1981.03,1983.535
2023-11-17T03:00:00+01:00,1983.535,1987.125,1983.285,1984.465
2023-11-17T07:00:00+01:00,1984.465,1992.435,1982.73,1991.36
2023-11-17T11:00:00+01:00,1991.36,1993.49,1983.65,1984.835
2023-11-17T15:00:00+01:00,1984.835,1986.765,1978.635,1981.11
2023-11-17T19:00:00+01:00,1981.11,1982.825,1979.095,1980.73
2023-11-19T23:00:00+01:00,1980.73,1983.09,1973.415,1981.125
2023-11-20T03:00:00+01:00,1981.125,1985.25,1979.695,1980.76
2023-11-20T07:00:00+01:00,1980.76,1981.975,1975.905,1979.4
2023-11-20T11:00:00+01:00,1979.4,1979.59,1965.765,1968.32
2023-11-20T15:00:00+01:00,1968.32,1976.28,1965.495,1973.885
2023-11-20T19:00:00+01:00,1973.885,1979.005,1973.535,1977.845
2023-11-20T23:00:00+01:00,1977.845,1990.445,1977.845,1990.06
2023-11-21T03:00:00+01:00,1990.06,1994.34,1988.89,1991.785
2023-11-21T07:00:00+01:00,1991.785,1994.355,1984.32,1985.445
2023-11-21T11:00:00+01:00,1985.445,2000.37,1985.425,1997.7
2023-11-21T15:00:00+01:00,1997.7,2007.65,1997.33,2001.53
2023-11-21T19:00:00+01:00,2001.53,2001.895,1996.325,1998.525
2023-11-21T23:00:00+01:00,1998.525,1999.94,1995.9,1996.185
2023-11-22T03:00:00+01:00,1996.185,2000.395,1995.525,1998.88
2023-11-22T07:00:00+01:00,1998.88,2006.455,1998.355,2002.21
2023-11-22T11:00:00+01:00,2002.21,2003.44,1996.85,1999.18
2023-11-22T15:00:00+01:00,1999.18,2002.48,1988.705,1991.66
2023-11-22T19:00:00+01:00,1991.66,1992.715,1986.965,1989.885
2023-11-22T23:00:00+01:00,1989.885,1994.11,1989.825,1993.565
2023-11-23T03:00:00+01:00,1993.565,1998.378,1993.24,1996.37
2023-11-23T07:00:00+01:00,1996.37,1998.57,1992.275,1994.37
2023-11-23T11:00:00+01:00,1994.37,1994.895,1991.94,1992.845
2023-11-23T15:00:00+01:00,1992.845,1994.945,1989.895,1992.85
2023-11-23T19:00:00+01:00,1992.85,1993.39,1991.845,1992.89
2023-11-23T23:00:00+01:00,1992.89,1995.005,1991.49,1992.905
2023-11-24T03:00:00+01:00,1992.905,1994.825,1991.545,1994.365
2023-11-24T07:00:00+01:00,1994.365,1994.955,1992.1,1994.59
2023-11-24T11:00:00+01:00,1994.59,2001.99,1994.435,1999.695
2023-11-24T15:00:00+01:00,1999.695,2003.66,1997.24,2000.99
2023-11-24T19:00:00+01:00,2000.99,2002.98,1999.95,2002.495
2023-11-26T23:00:00+01:00,2002.495,2018.325,2000.67,2012.075
2023-11-27T03:00:00+01:00,2012.075,2013.755,2007.455,2010.71
2023-11-27T07:00:00+01:00,2010.71,2015.545,2008.835,2013.425
2023-11-27T11:00:00+01:00,2013.425,2016.475,2009.83,2011.405
2023-11-27T15:00:00+01:00,2011.405,2014.99,2005.76,2009.975
2023-11-27T19:00:00+01:00,2009.975,2014.71,2009.56,2014.175
2023-11-27T23:00:00+01:00,2014.175,2018.14,2013.475,2015.43
2023-11-28T03:00:00+01:00,2015.43,2017.71,2014.14,2015.225
2023-11-28T07:00:00+01:00,2015.225,2016.89,2012.13,2015.985
2023-11-28T11:00:00+01:00,2015.985,2021.6,2011.685,2021.54
